date,cum_deaths,cum_recovered
2020-03-22,0.0,1
2020-03-23,0.0,1
2020-03-24,0.0,2
2020-03-25,0.0,4
2020-03-26,0.0,4
2020-03-27,1.0,31
2020-03-28,2.0,31
2020-03-29,2.0,31
2020-03-30,3.0,31
2020-03-31,5.0,31
2020-04-01,5.0,31
2020-04-02,5.0,45
2020-04-03,9.0,45
2020-04-04,9.0,45
2020-04-05,11.0,45
2020-04-06,12.0,45
2020-04-07,13.0,45
2020-04-08,18.0,45
2020-04-09,18.0,45
2020-04-10,24.0,410
2020-04-11,25.0,410
2020-04-12,25.0,410
2020-04-13,27.0,410
2020-04-14,27.0,410
2020-04-15,34.0,410
2020-04-16,48.0,903
2020-04-17,50.0,903
2020-04-18,52.0,903
2020-04-19,54.0,903
2020-04-20,58.0,1055
2020-04-21,58.0,1055
2020-04-22,65.0,1055
2020-04-23,75.0,1437
2020-04-24,79.0,1437
2020-04-25,86.0,1437
2020-04-26,87.0,1473
2020-04-27,90.0,1473
2020-04-28,93.0,2073
2020-04-29,103.0,2073
