date,cum_recovered,daily_recovered
2020-03-22,1,1.0
2020-03-23,1,0.0
2020-03-24,2,1.0
2020-03-25,4,2.0
2020-03-26,4,0.0
2020-03-27,31,27.0
2020-03-28,31,0.0
2020-03-29,31,0.0
2020-03-30,31,0.0
2020-03-31,31,0.0
2020-04-01,31,0.0
2020-04-02,45,14.0
2020-04-03,45,0.0
2020-04-04,45,0.0
2020-04-05,45,0.0
2020-04-06,45,0.0
2020-04-07,45,0.0
2020-04-08,45,0.0
2020-04-09,45,0.0
2020-04-10,410,365.0
2020-04-11,410,0.0
2020-04-12,410,0.0
2020-04-13,410,0.0
2020-04-14,410,0.0
2020-04-15,410,0.0
2020-04-16,903,493.0
2020-04-17,903,0.0
2020-04-18,903,0.0
2020-04-19,903,0.0
2020-04-20,1055,152.0
2020-04-21,1055,0.0
2020-04-22,1055,0.0
2020-04-23,1437,382.0
2020-04-24,1437,0.0
2020-04-25,1437,0.0
2020-04-26,1473,36.0
2020-04-27,1473,0.0
2020-04-28,2073,600.0
2020-04-29,2073,0.0
2020-04-30,2073,0.0
2020-05-01,2382,309.0
2020-05-02,2549,167.0
2020-05-03,2549,0.0
2020-05-04,2746,197.0
